u_id,q_id,choice,confidence,user_answer,attention,q_answer,q_type,grade,sample,kapr_question,timestamp,total_kapr_from_questions
4004,336,6,3,1,FALSE,1,33,1,4,0,NA,252.83769031917825
4004,86,2,2,0,FALSE,1,10,0,4,0,NA,252.83769031917825
4004,359,4,1,1,FALSE,1,35,1,4,0,NA,252.83769031917825
4004,188,5,2,1,FALSE,0,20,0,4,0,NA,252.83769031917825
4004,51,2,2,0,FALSE,1,6,0,4,0,NA,252.83769031917825
4004,138,5,2,1,FALSE,1,15,1,4,0,NA,252.83769031917825
4004,175,3,1,0,FALSE,0,19,1,4,0,NA,252.83769031917825
4004,109,5,2,1,FALSE,1,12,1,4,0,NA,252.83769031917825
4004,94,5,2,1,FALSE,1,11,1,4,0,NA,252.83769031917825
4004,39,5,2,1,FALSE,1,5,1,4,0,NA,252.83769031917825
4004,151,5,2,1,FALSE,1,17,1,4,0,NA,252.83769031917825
4004,211,4,1,1,FALSE,0,22,0,4,0,NA,252.83769031917825
4004,163,4,1,1,FALSE,0,18,0,4,0,NA,252.83769031917825
4004,311,4,1,1,FALSE,0,31,0,4,0,NA,252.83769031917825
4004,32,4,1,1,FALSE,0,4,0,4,0,NA,252.83769031917825
4004,240,4,1,1,FALSE,1,24,1,4,0.007467144563918282,1521575871,252.83769031917825
4004,260,4,1,1,FALSE,0,26,0,4,0.0021337807907775286,1521575869,252.83769031917825
4004,77,4,1,1,FALSE,0,9,0,4,2.2479478902859285e-4,1521575875,252.83769031917825
4004,340,4,1,1,FALSE,0,34,0,4,0,NA,252.83769031917825
4004,4,4,1,1,FALSE,1,1,1,4,0,NA,252.83769031917825
4004,265,3,1,0,FALSE,1,27,0,4,0,NA,252.83769031917825
3007,130,1,3,0,FALSE,0,14,1,7,0.24890481879729226,1521575246,252.83769031917825
3007,197,5,2,1,FALSE,1,21,1,7,0,NA,252.83769031917825
3007,29,6,3,1,FALSE,1,3,1,7,0.5344742063492054,1521575271,252.83769031917825
3007,270,2,2,0,FALSE,0,28,1,7,0.16037581699346437,1521575286,252.83769031917825
3007,372,5,2,1,FALSE,1,36,1,7,0,NA,252.83769031917825
3007,56,6,3,1,FALSE,1,7,1,7,0,NA,252.83769031917825
3007,120,1,3,0,FALSE,0,13,1,7,0,NA,252.83769031917825
3007,283,5,2,1,FALSE,1,29,1,7,0,NA,252.83769031917825
3007,299,3,1,0,FALSE,0,30,1,7,1.314484126984127,1521575401,252.83769031917825
3007,314,1,3,0,FALSE,0,32,1,7,2.170698924731183,1521575395,252.83769031917825
3007,70,2,2,0,FALSE,0,8,1,7,1.1190334719746486,1521575436,252.83769031917825
3007,22,6,3,1,FALSE,1,2,1,7,0.5642361111111116,1521575527,252.83769031917825
3007,223,5,2,1,FALSE,1,23,1,7,0,NA,252.83769031917825
3007,142,5,2,1,FALSE,0,16,0,7,0.8357699805068224,1521575587,252.83769031917825
3007,252,1,3,0,FALSE,0,25,1,7,0,NA,252.83769031917825
3007,328,5,2,1,FALSE,1,33,1,7,0,NA,252.83769031917825
3007,85,6,3,1,FALSE,1,10,1,7,0.6479603335587107,1521575617,252.83769031917825
3007,352,2,2,0,FALSE,1,35,0,7,0.5125661375661386,1521575627,252.83769031917825
3007,182,1,3,0,FALSE,0,20,1,7,0,NA,252.83769031917825
3007,45,6,3,1,FALSE,1,6,1,7,0,NA,252.83769031917825
3007,133,6,3,1,FALSE,1,15,1,7,0.46515918195234995,1521575668,252.83769031917825
3007,169,1,3,0,FALSE,0,19,1,7,1.1190334719746478,1521575679,252.83769031917825
3007,114,6,3,1,FALSE,1,12,1,7,0.9011627906976756,1521575715,252.83769031917825
3007,93,5,2,1,FALSE,1,11,1,7,0.432098765432098,1521575726,252.83769031917825
3007,38,6,3,1,FALSE,1,5,1,7,0,NA,252.83769031917825
3007,156,5,2,1,FALSE,1,17,1,7,0.8293972109761594,1521575742,252.83769031917825
3007,216,1,3,0,FALSE,0,22,1,7,0.032687991021322915,1521575754,252.83769031917825
3007,166,1,3,0,FALSE,0,18,1,7,0,NA,252.83769031917825
3007,311,1,3,0,FALSE,0,31,1,7,0,NA,252.83769031917825
3007,31,5,2,1,TRUE,0,4,0,7,0.5699855699855689,1521575783,252.83769031917825
3007,229,5,2,1,FALSE,1,24,1,7,0,NA,252.83769031917825
3007,259,2,2,0,FALSE,0,26,1,7,0.5612148651197906,1521575822,252.83769031917825
3007,78,2,2,0,FALSE,0,9,1,7,0,NA,252.83769031917825
3007,338,2,2,0,FALSE,0,34,1,7,0.10401026026026017,1521575837,252.83769031917825
3007,1,6,3,1,TRUE,1,1,1,7,0,NA,252.83769031917825
3007,261,6,3,1,FALSE,1,27,1,7,0.4060195779303335,1521575850,252.83769031917825
4012,127,1,3,0,FALSE,0,14,1,2,0.29239766081871343,1521574865,252.83769031917825
4012,200,6,3,1,FALSE,1,21,1,2,0,NA,252.83769031917825
4012,29,6,3,1,FALSE,1,3,1,2,0.5344742063492065,1521574894,252.83769031917825
4012,276,2,2,0,FALSE,0,28,1,2,2.6143280170731753e-4,1521574922,252.83769031917825
4012,370,6,3,1,FALSE,1,36,1,2,0,NA,252.83769031917825
4012,60,6,3,1,FALSE,1,7,1,2,0,NA,252.83769031917825
4012,124,2,2,0,FALSE,0,13,1,2,0.7287933094384704,1521574973,252.83769031917825
4012,289,6,3,1,FALSE,1,29,1,2,0,NA,252.83769031917825
4012,294,2,2,0,FALSE,0,30,1,2,0,NA,252.83769031917825
4012,314,1,3,0,FALSE,0,32,1,2,0,NA,252.83769031917825
4012,68,5,2,1,FALSE,0,8,0,2,0,NA,252.83769031917825
4012,14,6,3,1,FALSE,1,2,1,2,2.572300850167686e-4,1521575018,252.83769031917825
4012,221,5,2,1,FALSE,1,23,1,2,0.9259259259259252,1521575050,252.83769031917825
4012,140,2,2,0,FALSE,0,16,1,2,2.1385616889535441e-4,1521575085,252.83769031917825
4012,248,1,3,0,FALSE,0,25,1,2,0,NA,252.83769031917825
4012,337,5,2,1,FALSE,1,33,1,2,1.3820806100217857,1521575106,252.83769031917825
4012,86,5,2,1,FALSE,1,10,1,2,0.5456349206349205,1521575115,252.83769031917825
4012,354,2,2,0,FALSE,1,35,0,2,0.8003510045993707,1521575125,252.83769031917825
4012,185,2,2,0,FALSE,0,20,1,2,0.27777777777777857,1521575155,252.83769031917825
4012,48,6,3,1,FALSE,1,6,1,2,0,NA,252.83769031917825
4012,138,2,2,0,FALSE,1,15,0,2,0,NA,252.83769031917825
4012,175,1,3,0,FALSE,0,19,1,2,0,NA,252.83769031917825
4012,112,2,2,0,FALSE,1,12,0,2,0.3182870370370381,1521575236,252.83769031917825
4012,93,5,2,1,FALSE,1,11,1,2,2.4229964890398747e-4,1521575255,252.83769031917825
4012,41,6,3,1,FALSE,1,5,1,2,0,NA,252.83769031917825
4012,151,3,1,0,FALSE,1,17,0,2,2.1499828001392274e-4,1521575295,252.83769031917825
4012,208,2,2,0,FALSE,0,22,1,2,0.11261261261261257,1521575316,252.83769031917825
4012,168,2,2,0,FALSE,0,18,1,2,0,NA,252.83769031917825
4012,311,2,2,0,FALSE,0,31,1,2,0,NA,252.83769031917825
4012,35,1,3,0,FALSE,0,4,1,2,0,NA,252.83769031917825
