u_id,timestamp,q_id,column,cell_mode,kapr_cumulative,kapr_cell
2002,1521575488,60,reg,partial,0.9110469513430041,0.084175084175084125
2002,1521575493,60,reg,full,1.6686227089187613,0.7575757575757572
2002,1521575577,294,race,full,1.6689538419262888,3.311330075275176e-4
2002,1521575604,68,fname,partial,1.7965317038791506,0.1275778619528618
2002,1521575606,68,fname,full,1.7969701157758964,4.3841189674576064e-4
2002,1521575618,14,lname,full,2.172714163394944,0.37574404761904745
2002,1521575646,221,dob,partial,2.183937507951622,0.011223344556678061
2002,1521575686,86,fname,partial,2.3575486190627335,0.1736111111111116
2002,1521575687,86,fname,full,2.7295724285865424,0.37202380952380887
2002,1521575697,354,fname,full,3.2538099013534265,0.5242374727668841
2002,1521575754,185,race,full,3.2540881630646155,2.7826171118894294e-4
2002,1521575774,138,fname,full,3.757049764371806,0.5029616013071907
