uid,type,value,timestamp,extra
3008,open_cell,262-1-1,1521576106,url:/record_linkage
3008,kapr,13.815676498772927,1521576106,id:262-1-1|new_mode:partial|url:/record_linkage
3008,open_cell,262-1-1,1521576110,url:/record_linkage
3008,kapr,14.465027148123577,1521576110,id:262-1-1|new_mode:full|url:/record_linkage
3008,answer,p262a5,1521576115,url:/record_linkage
3008,jumping,/record_linkage,1521576117,url:/record_linkage
3008,final_answer,p229a5,1521576117,url:/record_linkage
3008,final_answer,p255a3,1521576117,url:/record_linkage
3008,final_answer,p84a3,1521576117,url:/record_linkage
3008,final_answer,p342a2,1521576117,url:/record_linkage
3008,final_answer,p3a6,1521576117,url:/record_linkage
3008,final_answer,p262a5,1521576117,url:/record_linkage
3008,session_end,1521576114,1521576114,source:server
3008,performance1,34 out of 36,1521576114,source:server
3008,performance2,0 out of 271,1521576114,source:server
3008,final_KAPR_section1,0.14465027148123577,1521576114,source:server|total:0.0
3003,session_start,1521573828,1521573828,source:server
3003,jumping,/tutorial/rl/id_1,1521574327,url:/tutorial/rl/id_1
3003,answer,q2a2,1521574383939,
3003,answer,q1a4,1521574403607,
3003,answer,q2a3,1521574418348,
3003,jumping,/tutorial/rl/id_3,1521574419,url:/tutorial/rl/id_3
3003,final_answer,q1a4,1521574419,url:/tutorial/rl/id_3
3003,final_answer,q2a3,1521574419,url:/tutorial/rl/id_3
3003,answer,q1a5,1521574461031,
3003,answer,q2a6,1521574472319,
3003,answer,q1a6,1521574476133,
3003,jumping,/tutorial/rl/twin,1521574477,url:/tutorial/rl/twin
3003,final_answer,q1a6,1521574477,url:/tutorial/rl/twin
3003,final_answer,q2a6,1521574477,url:/tutorial/rl/twin
3003,answer,q1a2,1521574509136,
3003,answer,q2a4,1521574520377,
3003,jumping,/tutorial/rl/dup,1521574525,url:/tutorial/rl/dup
3003,final_answer,q1a2,1521574525,url:/tutorial/rl/dup
3003,final_answer,q2a4,1521574525,url:/tutorial/rl/dup
3003,answer,q2a6,1521574545072,
3003,answer,q1a1,1521574555169,
3003,jumping,/tutorial/rl/missing,1521574560,url:/tutorial/rl/missing
3003,final_answer,q1a1,1521574560,url:/tutorial/rl/missing
3003,final_answer,q2a6,1521574560,url:/tutorial/rl/missing
3003,answer,q1a6,1521574573495,
3003,answer,q2a5,1521574583625,
3003,answer,q2a6,1521574590110,
3003,jumping,/tutorial/rl/freq,1521574591,url:/tutorial/rl/freq
3003,final_answer,q1a6,1521574591,url:/tutorial/rl/freq
3003,final_answer,q2a6,1521574591,url:/tutorial/rl/freq
3003,answer,q1a6,1521574641541,
3003,answer,q2a2,1521574648363,
3003,answer,q3a5,1521574662589,
3003,answer,q4a6,1521574669421,
3003,answer,q3a6,1521574689197,
3003,jumping,/tutorial/privacy/practice,1521574690,url:/tutorial/privacy/practice
3003,final_answer,q1a6,1521574690,url:/tutorial/privacy/practice
3003,final_answer,q2a2,1521574690,url:/tutorial/privacy/practice
3003,final_answer,q3a6,1521574690,url:/tutorial/privacy/practice
3003,final_answer,q4a6,1521574690,url:/tutorial/privacy/practice
3003,open_cell,50053-1-0,1521574800,url:/tutorial/clickable/decision_making_demo
3003,kapr,4.976232917409388,1521574800,id:50053-1-0|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50054-1-0,1521574802,url:/tutorial/clickable/decision_making_demo
3003,kapr,8.503657400716225,1521574802,id:50054-1-0|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50054-1-1,1521574807,url:/tutorial/clickable/decision_making_demo
3003,kapr,18.380445953975368,1521574808,id:50054-1-1|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50053-1-1,1521574811,url:/tutorial/clickable/decision_making_demo
3003,kapr,40.27587079057667,1521574811,id:50053-1-1|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50053-1-2,1521574814,url:/tutorial/clickable/decision_making_demo
3003,kapr,48.47551428433781,1521574814,id:50053-1-2|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50054-1-2,1521574815,url:/tutorial/clickable/decision_making_demo
3003,kapr,63.906754347930814,1521574816,id:50054-1-2|new_mode:partial|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50054-1-2,1521574823,url:/tutorial/clickable/decision_making_demo
3003,kapr,70.96160331454449,1521574823,id:50054-1-2|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50054-1-3,1521574826,url:/tutorial/clickable/decision_making_demo
3003,kapr,73.78354290118996,1521574826,id:50054-1-3|new_mode:partial|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50054-1-3,1521574828,url:/tutorial/clickable/decision_making_demo
3003,kapr,82.24936166112636,1521574828,id:50054-1-3|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50054-1-4,1521574829,url:/tutorial/clickable/decision_making_demo
3003,kapr,83.66033145444909,1521574830,id:50054-1-4|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50054-1-5,1521574831,url:/tutorial/clickable/decision_making_demo
3003,kapr,85.07130124777184,1521574831,id:50054-1-5|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,answer,q2a6,1521574833100,
3003,open_cell,50053-1-3,1521574843,url:/tutorial/clickable/decision_making_demo
3003,kapr,97.01426024955437,1521574843,id:50053-1-3|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50053-1-4,1521574845,url:/tutorial/clickable/decision_making_demo
3003,kapr,98.50713012477719,1521574845,id:50053-1-4|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,open_cell,50053-1-5,1521574846,url:/tutorial/clickable/decision_making_demo
3003,kapr,100,1521574846,id:50053-1-5|new_mode:full|url:/tutorial/clickable/decision_making_demo
3003,answer,q1a4,1521574856066,
3003,jumping,/tutorial/clickable/decision_making_demo,1521574862,url:/tutorial/clickable/decision_making_demo
3003,final_answer,q1a4,1521574862,url:/tutorial/clickable/decision_making_demo
3003,final_answer,q2a6,1521574862,url:/tutorial/clickable/decision_making_demo
3003,open_cell,50055-1-0,1521574875,url:/tutorial/clickable/practice
3003,kapr,3.7321746880570412,1521574875,id:50055-1-0|new_mode:full|url:/tutorial/clickable/practice
